model,mean,min,max
Logisitc,0.5041453069701713,0.49686765780633124,0.5112337344456915
RF,0.36887744680510604,0.36094671068231626,0.3773698612474192
GB,0.435385539950781,0.423735399184756,0.4506944932993199
SVC,0.4529272610203082,0.4430283332831477,0.46462034121942575
Logisitc_cali,0.5300793881146367,0.5158315469754565,0.5448655770454051
RF_cali,0.39189229464900166,0.3804018502731044,0.4003451104790568
GB_cali,0.42771954469171636,0.4248664110683403,0.42968025358510054
SVC_cali,0.46860842684343496,0.46049398489898635,0.4762231787403106
