mean_fit_time,mean_score_time,mean_test_score,param_C,param_gamma,param_kernel,param_probability,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
850.4125889778137,5.65110764503479,-0.52913937858352,2,auto,rbf,True,"{'kernel': 'rbf', 'gamma': 'auto', 'probability': True, 'C': 2}",12,-0.6552269817341699,-0.6221203315390237,-0.4841726621889218,-0.4274894461280429,-0.4566272719466105,56.72009513810662,0.3323566232889603,0.09182573263708275
1462.643958234787,7.855438899993897,-0.5351042354169716,2,0.1,rbf,True,"{'kernel': 'rbf', 'gamma': 0.1, 'probability': True, 'C': 2}",19,-0.5888188559553909,-0.5928071116935932,-0.5159731425027627,-0.481010790579534,-0.496885630795908,82.95500422018804,0.2517615854884609,0.04683582784436846
364.76010313034055,4.603741073608399,-0.5253773994175003,2,0.01,rbf,True,"{'kernel': 'rbf', 'gamma': 0.01, 'probability': True, 'C': 2}",6,-0.676510621873314,-0.6292650477925097,-0.47023902220630825,-0.40741892303845795,-0.44338122499264043,28.686747459629277,0.23432696855776458,0.1070674012613002
305.78052816390993,3.932683324813843,-0.5470895606635331,2,0.001,rbf,True,"{'kernel': 'rbf', 'gamma': 0.001, 'probability': True, 'C': 2}",50,-0.6759340700521345,-0.6296283729598765,-0.4822738032419867,-0.45568117145425513,-0.49186886996874024,9.604427034147148,0.09978132382859196,0.08834439823493237
301.6123998641968,3.884077310562134,-0.5466812768591442,2,0.0001,rbf,True,"{'kernel': 'rbf', 'gamma': 0.0001, 'probability': True, 'C': 2}",49,-0.7088471082312254,-0.653095040199031,-0.4768435732503702,-0.428398323404372,-0.466144914607537,25.71327904953773,0.12836570070881648,0.11223409019165452
313.0405202865601,3.8240187644958494,-0.5655694493364148,2,1e-05,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-05, 'probability': True, 'C': 2}",63,-0.7250300873215748,-0.6941197183128194,-0.46635602325058645,-0.5052280582391826,-0.43703722652473576,17.392264411078795,0.0679998689160994,0.11996920856398063
271.9637475013733,3.844960069656372,-0.6042092607117079,2,1e-06,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-06, 'probability': True, 'C': 2}",80,-0.7449557678908196,-0.6964003937726001,-0.5119282525416043,-0.5648082084661363,-0.5028864827459708,14.777234579793152,0.045249721999698234,0.09863886617554722
253.27815327644348,3.729918670654297,-0.5795718358088412,2,1e-07,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-07, 'probability': True, 'C': 2}",69,-0.6071280251245548,-0.6013383924360931,-0.5781268807256376,-0.5649293938502128,-0.5463233304554203,20.110649468064523,0.06134658199719822,0.02260618153293976
219.63335781097413,3.7446107387542726,-0.5813854343103076,2,1e-08,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-08, 'probability': True, 'C': 2}",71,-0.6334058056974061,-0.5805829356667257,-0.5765077604747153,-0.5593635540780877,-0.557042278980802,6.255589018021342,0.22831626497449528,0.027600853102062416
221.08505487442017,3.7622769832611085,-1.4429864666205197,2,1e-09,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-09, 'probability': True, 'C': 2}",90,-0.7916582473978068,-3.079195623783967,-0.5533231254183322,-1.011776830517041,-1.7792894767275012,2.8131416944536003,0.009233982353789498,0.9156149258058744
1087.4481189250946,5.632834100723267,-0.5338311902162808,4,auto,rbf,True,"{'kernel': 'rbf', 'gamma': 'auto', 'probability': True, 'C': 4}",18,-0.6492465579351193,-0.6284669785254232,-0.49190871671495723,-0.43864306505670086,-0.46083552883024,64.09487695495105,0.2252226741712147,0.08766523791810558
1474.8259953022002,7.692007541656494,-0.5365388856161462,4,0.1,rbf,True,"{'kernel': 'rbf', 'gamma': 0.1, 'probability': True, 'C': 4}",28,-0.5920279222361119,-0.5927353830621851,-0.515892372376382,-0.48327076697650856,-0.49874149069303303,44.18036530267411,0.10694191099308073,0.046754507641046585
460.6548812389374,4.520271110534668,-0.5271480216486432,4,0.01,rbf,True,"{'kernel': 'rbf', 'gamma': 0.01, 'probability': True, 'C': 4}",9,-0.6797557965303174,-0.6482310332385308,-0.4724636135472771,-0.3995726517061257,-0.43564415202503187,48.4018391876533,0.292790499570104,0.11453724464462713
315.75251512527467,3.9659415245056153,-0.5371106962665343,4,0.001,rbf,True,"{'kernel': 'rbf', 'gamma': 0.001, 'probability': True, 'C': 4}",30,-0.6749492676483067,-0.6402091358348587,-0.4759659459670037,-0.4331159342583161,-0.46124738785031133,18.828435698805347,0.18923466456613625,0.09994187795372572
322.6458693504334,3.9052321910858154,-0.5480450984933439,4,0.0001,rbf,True,"{'kernel': 'rbf', 'gamma': 0.0001, 'probability': True, 'C': 4}",53,-0.7062313437655147,-0.660843010380459,-0.4771040879702805,-0.43181115943693216,-0.46416036632758345,34.4446189720236,0.04567090086711472,0.11254488925619476
317.5877546787262,3.8481629371643065,-0.5580212118735088,4,1e-05,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-05, 'probability': True, 'C': 4}",62,-0.722808279838255,-0.6906418621375355,-0.4620787970895112,-0.4796944828316096,-0.43480396138184585,13.288511439155942,0.03619036210034242,0.1226958077379089
305.97243695259095,3.8009737968444823,-0.587061166537607,4,1e-06,rbf,True,"{'kernel': 'rbf', 'gamma': 1e-06, 'probability': True, 'C': 4}",73,-0.728914562629917,-0.6888814524508731,-0.4973633342309661,-0.5450187997790726,-0.4750599569817409,15.646214693286073,0.03806481861586782,0.10281230451148748
