-0.545 (+/-0.264) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 32}
-0.545 (+/-0.266) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 32}
-0.542 (+/-0.259) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 32}
-0.543 (+/-0.265) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 32}
-0.541 (+/-0.261) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 32}
-0.543 (+/-0.261) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 32}
-0.542 (+/-0.260) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 32}
-0.611 (+/-0.443) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': 64}
-0.560 (+/-0.311) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 64}
-0.548 (+/-0.282) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': 64}
-0.551 (+/-0.283) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 64}
-0.546 (+/-0.280) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 64}
-0.543 (+/-0.268) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 64}
-0.544 (+/-0.269) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 64}
-0.544 (+/-0.272) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 64}
-0.543 (+/-0.268) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 64}
-0.544 (+/-0.277) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 64}
-0.638 (+/-0.516) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': 64}
-0.559 (+/-0.304) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 64}
-0.552 (+/-0.292) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': 64}
-0.549 (+/-0.283) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 64}
-0.548 (+/-0.277) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 64}
-0.544 (+/-0.274) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 64}
-0.543 (+/-0.272) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 64}
-0.542 (+/-0.267) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 64}
-0.543 (+/-0.269) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 64}
-0.542 (+/-0.269) for {'max_features': 'sqrt', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 64}
-0.626 (+/-0.458) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': 64}
-0.554 (+/-0.293) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 64}
-0.546 (+/-0.270) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': 64}
-0.544 (+/-0.270) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 700, 'max_depth': 64}
-0.546 (+/-0.271) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 900, 'max_depth': 64}
-0.545 (+/-0.274) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1100, 'max_depth': 64}
-0.542 (+/-0.265) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1300, 'max_depth': 64}
-0.543 (+/-0.265) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1500, 'max_depth': 64}
-0.541 (+/-0.260) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1700, 'max_depth': 64}
-0.541 (+/-0.260) for {'max_features': 'log2', 'criterion': 'entropy', 'n_estimators': 1900, 'max_depth': 64}
-0.620 (+/-0.434) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 100, 'max_depth': 128}
-0.560 (+/-0.306) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 300, 'max_depth': 128}
-0.551 (+/-0.281) for {'max_features': 'auto', 'criterion': 'entropy', 'n_estimators': 500, 'max_depth': 128}
