RUN,BATCH_SIZE,LR,val_loss,val_accuracy,val_AUC,accuracy,NEURONS,AUC,loss,EPOCHS
3,512,0.00030000000000000003,0.44100077089660206,0.8229117,0.81892866,0.86310196,[1024; 1024; 512],0.9038699,0.31681533035909304,200
3,512,0.00030000000000000003,0.4600924380639288,0.82553697,0.8160364,0.8776034,[1024; 1024; 512],0.9266274,0.28065117173834575,250
3,512,0.00030000000000000003,0.46972369442122647,0.82792366,0.8161913,0.8898371,[1024; 1024; 512],0.94095254,0.2536086578169095,300
3,512,0.00030000000000000003,0.48840563294426637,0.82243437,0.8189186,0.90493524,[1024; 1024; 512],0.952133,0.229318718498459,350
3,512,0.00030000000000000003,0.497610739463838,0.8319809,0.8207722,0.91466254,[1024; 1024; 512],0.95937556,0.21062094075156756,400
3,512,0.00030000000000000003,0.511355851743557,0.8252983,0.8190893,0.9142448,[1024; 1024; 512],0.96229213,0.20479848991396774,450
3,512,0.00030000000000000003,0.5293616801286939,0.8303103,0.81914604,0.9190189,[1024; 1024; 512],0.96741617,0.18970776700515368,500
3,512,0.00030000000000000003,0.5457541071145233,0.82553697,0.8183453,0.9263591,[1024; 1024; 512],0.97030765,0.18188023348177448,550
3,512,0.00030000000000000003,0.5479804188653222,0.8298329,0.8192122,0.92791075,[1024; 1024; 512],0.9722291,0.17535822130123882,600
4,512,0.001,3.7843183323989904,0.7536993,0.5,0.7444053,[2048; 2048],0.49734113,3.5932957955758966,0
4,512,0.001,0.43197706509603806,0.82100236,0.80939496,0.824909,[2048; 2048],0.83381945,0.4033463866953819,50
4,512,0.001,0.43488824542496257,0.82959425,0.82522124,0.8589843,[2048; 2048],0.90210706,0.3206701182914305,100
4,512,0.001,0.45325445036330486,0.8357995,0.8278911,0.8912693,[2048; 2048],0.93997246,0.252719895710003,150
4,512,0.001,0.4757570834888194,0.84081143,0.8287403,0.90439814,[2048; 2048],0.9537743,0.2242727012496835,200
4,512,0.001,0.5119026327047826,0.83556086,0.826084,0.9202721,[2048; 2048],0.96671915,0.18979021740029434,250
4,512,0.001,0.5382103546991553,0.84272075,0.8270258,0.92916393,[2048; 2048],0.97272044,0.17153531857785942,300
4,512,0.001,0.5695626668258612,0.8372315,0.82111734,0.93727994,[2048; 2048],0.97671485,0.15922199528200384,350
4,512,0.001,0.6028592853955835,0.84272075,0.81670904,0.94038314,[2048; 2048],0.9795159,0.1494232935003615,400
4,512,0.001,0.6160928319917374,0.8398568,0.81734926,0.94259113,[2048; 2048],0.9814858,0.1404036369127811,450
4,512,0.001,0.6499978201770555,0.84224343,0.81591934,0.94539595,[2048; 2048],0.98387533,0.13311973763528087,500
4,512,0.001,0.6793061564531986,0.8384248,0.81386197,0.95076686,[2048; 2048],0.98566455,0.12651579995094012,550
4,512,0.001,0.6884953591305771,0.84224343,0.8194358,0.9559587,[2048; 2048],0.9874679,0.11187955385593452,600
5,512,0.003,3.581974882271523,0.7677804,0.5,0.74130213,[2048; 2048],0.49818215,3.7472710372255293,0
5,512,0.003,3.581974937011063,0.7677804,0.5,0.7533568,[2048; 2048],0.5,3.804458472682773,50
5,512,0.003,3.5819749114052493,0.7677804,0.5,0.7533568,[2048; 2048],0.5,3.8044585896084686,100
5,512,0.003,3.581974758794598,0.7677804,0.5,0.7533568,[2048; 2048],0.5,3.804458499217991,150
5,512,0.003,3.5819749032113886,0.7677804,0.5,0.7533568,[2048; 2048],0.5,3.804458556656423,200
5,512,0.003,3.5819749041218176,0.7677804,0.5,0.7533568,[2048; 2048],0.5,3.804458513389078,250
5,512,0.003,3.581975001310107,0.7677804,0.5,0.7533568,[2048; 2048],0.5,3.8044585773012494,300
5,512,0.003,3.581974889213544,0.7677804,0.5,0.7533568,[2048; 2048],0.5,3.8044585745979296,350
5,512,0.003,3.581975001310107,0.7677804,0.5,0.7533568,[2048; 2048],0.5,3.804458551861587,400
5,512,0.003,3.581974947480996,0.7677804,0.5,0.7533568,[2048; 2048],0.5,3.804458552814863,450
5,512,0.003,3.581974937011063,0.7677804,0.5,0.7533568,[2048; 2048],0.5,3.804458544719132,500
5,512,0.003,3.581974917436841,0.7677804,0.5,0.7533568,[2048; 2048],0.5,3.804458552516075,550
5,512,0.003,3.581974907877337,0.7677804,0.5,0.7533568,[2048; 2048],0.5,3.80445853512946,600
6,512,0.0001,0.550718797561946,0.7441527,0.6851351,0.6747031,[2048; 2048],0.52639604,1.0728818696965292,0
6,512,0.0001,0.4885905704521052,0.7935561,0.79248166,0.78635794,[2048; 2048],0.75801617,0.4712967096091014,50
6,512,0.0001,0.44250429480343273,0.81002384,0.80804193,0.8102286,[2048; 2048],0.80188257,0.43327740375805124,100
6,512,0.0001,0.4456521392295355,0.81288785,0.81373054,0.826938,[2048; 2048],0.8347934,0.40169784648645934,150
