mean_fit_time,mean_score_time,mean_test_score,param_criterion,param_learning_rate,param_max_depth,param_max_features,param_n_estimators,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
4.201016092300415,0.017908096313476562,-0.49801192414366824,friedman_mse,0.01,3,auto,100,"{'max_depth': 3, 'n_estimators': 100, 'max_features': 'auto', 'criterion': 'friedman_mse', 'learning_rate': 0.01}",24,-0.5669426580717306,-0.6122159664823354,-0.46743490360234113,-0.4120308738240276,-0.4314023083851121,0.2515356783763112,0.0006333472407690211,0.07817658996642993
13.093013429641724,0.03372654914855957,-0.4952132112796057,friedman_mse,0.01,3,auto,300,"{'max_depth': 3, 'n_estimators': 300, 'max_features': 'auto', 'criterion': 'friedman_mse', 'learning_rate': 0.01}",12,-0.5850134812901217,-0.68502986370571,-0.44625358034615314,-0.3614585031872552,-0.3982677535455562,0.10194328102278741,0.0012096918095799794,0.12147184405889302
21.31848578453064,0.04912028312683105,-0.4936235634099957,friedman_mse,0.01,3,auto,500,"{'max_depth': 3, 'n_estimators': 500, 'max_features': 'auto', 'criterion': 'friedman_mse', 'learning_rate': 0.01}",4,-0.5960387437453849,-0.6905804637833194,-0.4431634424326885,-0.34595285066867737,-0.39233341922232584,0.6478090691466177,0.001921169209269571,0.12953026175931526
29.965332221984863,0.06467866897583008,-0.4941122842993509,friedman_mse,0.01,3,auto,700,"{'max_depth': 3, 'n_estimators': 700, 'max_features': 'auto', 'criterion': 'friedman_mse', 'learning_rate': 0.01}",6,-0.6089344379155134,-0.6932779482219903,-0.4409309967993782,-0.3372992906606201,-0.3900639271049741,0.8789337240547033,0.0012213330673738068,0.1349765238126457
38.37985239028931,0.0829392910003662,-0.49521976499165704,friedman_mse,0.01,3,auto,900,"{'max_depth': 3, 'n_estimators': 900, 'max_features': 'auto', 'criterion': 'friedman_mse', 'learning_rate': 0.01}",13,-0.6196689831536202,-0.6958026432864957,-0.4399506192040017,-0.3325364484336744,-0.38808071373169334,0.26937043896715535,0.004071624830637808,0.1390816840351195
46.24868130683899,0.09493355751037598,-0.4970159451554684,friedman_mse,0.01,3,auto,1100,"{'max_depth': 3, 'n_estimators': 1100, 'max_features': 'auto', 'criterion': 'friedman_mse', 'learning_rate': 0.01}",20,-0.6320589277070252,-0.6981059200415276,-0.4389990778516771,-0.32909691659475904,-0.38675440853697146,0.7824686468624067,0.0051497249753492715,0.14310351373148733
56.31167335510254,0.11028008460998535,-0.49848609038814995,friedman_mse,0.01,3,auto,1300,"{'max_depth': 3, 'n_estimators': 1300, 'max_features': 'auto', 'criterion': 'friedman_mse', 'learning_rate': 0.01}",25,-0.6413449410212899,-0.7005619364621061,-0.4386576581053999,-0.3260972207014419,-0.3857004889899088,3.416103879867487,0.006550764810840299,0.14646552914945818
62.51974506378174,0.12421174049377441,-0.4999659461719214,friedman_mse,0.01,3,auto,1500,"{'max_depth': 3, 'n_estimators': 1500, 'max_features': 'auto', 'criterion': 'friedman_mse', 'learning_rate': 0.01}",31,-0.6496372637844652,-0.7032029784169094,-0.43813074623315595,-0.3236907844938949,-0.3850964987200989,1.2396909815266524,0.004097946733817643,0.14953148772116598
68.72983055114746,0.13862271308898927,-0.5013923962234641,friedman_mse,0.01,3,auto,1700,"{'max_depth': 3, 'n_estimators': 1700, 'max_features': 'auto', 'criterion': 'friedman_mse', 'learning_rate': 0.01}",40,-0.6564371881283969,-0.7064967492872377,-0.43754270589064,-0.32167376212596777,-0.3847375509575033,3.3325043973287767,0.004902087351730081,0.15237519371209954
80.52082467079163,0.15312371253967286,-0.5025148229217814,friedman_mse,0.01,3,auto,1900,"{'max_depth': 3, 'n_estimators': 1900, 'max_features': 'auto', 'criterion': 'friedman_mse', 'learning_rate': 0.01}",44,-0.6627051108441093,-0.7079954011923578,-0.4374388307406801,-0.3199775816344321,-0.38438070879941777,4.468570343015159,0.0075267096662422145,0.15452795562236665
1.1360226154327393,0.018612051010131837,-0.515531991629057,friedman_mse,0.01,3,sqrt,100,"{'max_depth': 3, 'n_estimators': 100, 'max_features': 'sqrt', 'criterion': 'friedman_mse', 'learning_rate': 0.01}",90,-0.5553788297057688,-0.5720481307976428,-0.4996518164554886,-0.4664618146451162,-0.4841003420303699,0.11709853509856734,0.000766963132566732,0.0410604638064872
3.648138666152954,0.03442792892456055,-0.49467076937492993,friedman_mse,0.01,3,sqrt,300,"{'max_depth': 3, 'n_estimators': 300, 'max_features': 'sqrt', 'criterion': 'friedman_mse', 'learning_rate': 0.01}",7,-0.5784491748167033,-0.6243396695926002,-0.4582595502466222,-0.39305019317838874,-0.41921525980164276,0.08330522724512496,0.0011570377386939568,0.09075055508562266
5.950144529342651,0.05180778503417969,-0.4946737051713151,friedman_mse,0.01,3,sqrt,500,"{'max_depth': 3, 'n_estimators': 500, 'max_features': 'sqrt', 'criterion': 'friedman_mse', 'learning_rate': 0.01}",8,-0.6014570470086373,-0.6509315076236628,-0.449622152841231,-0.36852965855559305,-0.4027771770908378,0.2237630131279881,0.001909092383802107,0.11153978829416485
8.04772162437439,0.06536030769348145,-0.49765105702114226,friedman_mse,0.01,3,sqrt,700,"{'max_depth': 3, 'n_estimators': 700, 'max_features': 'sqrt', 'criterion': 'friedman_mse', 'learning_rate': 0.01}",22,-0.6196117967539344,-0.6791838302099571,-0.4433585109543322,-0.35047485649863336,-0.3955680616414768,0.25412587862251806,0.002862871296190149,0.12873011462371298
