RUN,val_AUC,BATCH_SIZE,loss,EPOCHS,val_loss,accuracy,val_accuracy,AUC,LR,NEURONS
0,0.4766127,1024,1.275138654159377,0,0.7242166548469471,0.6208749,0.75202864,0.5005929,1e-05,[512; 1024]
0,0.6755678,1024,0.7842011970118334,50,0.529405580272538,0.69105446,0.7544153,0.54383266,1e-05,[512; 1024]
0,0.6773906,1024,0.6436646885210854,100,0.5562213184440904,0.72041535,0.75847256,0.57501733,1e-05,[512; 1024]
0,0.6909899,1024,0.5816932898109267,150,0.5862915663275343,0.7344393,0.7572792,0.60394883,1e-05,[512; 1024]
0,0.71236426,1024,0.5558927581732417,200,0.5910713562248431,0.7482843,0.7572792,0.619955,1e-05,[512; 1024]
0,0.72419214,1024,0.5373030071533998,250,0.583807134030827,0.754431,0.7572792,0.6441394,1e-05,[512; 1024]
0,0.7300675,1024,0.5287418067224087,300,0.5733564777988807,0.7589067,0.7594272,0.65616584,1e-05,[512; 1024]
0,0.7352546,1024,0.5245093514606692,350,0.5609786183851146,0.76141316,0.76157516,0.6639352,1e-05,[512; 1024]
0,0.7394531,1024,0.5161326076212251,400,0.550095676920579,0.76391953,0.7639618,0.6801058,1e-05,[512; 1024]
0,0.74424464,1024,0.5129603975754106,450,0.5427145170141233,0.7673808,0.7677804,0.6852341,1e-05,[512; 1024]
0,0.74766076,1024,0.5064787913380385,500,0.5357298836787732,0.76750016,0.7725537,0.7000001,1e-05,[512; 1024]
0,0.75175214,1024,0.49945773890986395,550,0.5278614324146352,0.7714985,0.7754177,0.71176785,1e-05,[512; 1024]
0,0.75541705,1024,0.5005433788417368,600,0.5235713267098748,0.7712598,0.7754177,0.7120568,1e-05,[512; 1024]
0,0.7592899,1024,0.49916997923446654,650,0.5196525988260147,0.7716178,0.778043,0.7131159,1e-05,[512; 1024]
0,0.76258713,1024,0.4939177916251568,700,0.5135318024915272,0.77257264,0.7818616,0.72225577,1e-05,[512; 1024]
0,0.76637787,1024,0.49207226200640725,750,0.5076273173591687,0.7744823,0.7830549,0.72621346,1e-05,[512; 1024]
0,0.7699957,1024,0.48624858677212945,800,0.5055734016730279,0.77770483,0.7849642,0.73543817,1e-05,[512; 1024]
0,0.77319634,1024,0.4845357039965458,850,0.5014515199069476,0.776929,0.78973746,0.7383672,1e-05,[512; 1024]
0,0.77611476,1024,0.48105798298272384,900,0.4987489264449527,0.7800322,0.79236275,0.74354666,1e-05,[512; 1024]
0,0.7792428,1024,0.47920257874673966,950,0.4941506578700355,0.78122574,0.7930788,0.7455837,1e-05,[512; 1024]
0,0.7819628,1024,0.4791494383976711,1000,0.4919520611694718,0.7808677,0.7954654,0.74512035,1e-05,[512; 1024]
1,0.47433463,1024,1.3588855135175475,0,0.8368482463968682,0.59819776,0.75990456,0.5007669,1e-05,[1024; 1024]
1,0.6926798,1024,0.7318755367700429,50,0.5228572063343622,0.69594795,0.76563245,0.55863535,1e-05,[1024; 1024]
1,0.7021114,1024,0.59264400204248,100,0.5791876605416255,0.73664737,0.7673031,0.60609984,1e-05,[1024; 1024]
1,0.70813876,1024,0.5561253247905861,150,0.5886170190103299,0.74691176,0.7646778,0.6265577,1e-05,[1024; 1024]
1,0.7117582,1024,0.5359316374689738,200,0.5755632642345383,0.7551471,0.76515514,0.64952505,1e-05,[1024; 1024]
1,0.7175535,1024,0.5238507665654188,250,0.5618662091029857,0.7609954,0.7684964,0.6706162,1e-05,[1024; 1024]
1,0.7235952,1024,0.5133454430969075,300,0.5473387348338926,0.76565015,0.7680191,0.69001055,1e-05,[1024; 1024]
1,0.73005575,1024,0.5084278005105097,350,0.5373692661594947,0.7672018,0.774463,0.69982207,1e-05,[1024; 1024]
1,0.73609257,1024,0.5002741606677853,400,0.5276789332062077,0.77036464,0.77756566,0.714297,1e-05,[1024; 1024]
1,0.74201345,1024,0.49980676507632543,450,0.52117810639106,0.77155817,0.7804296,0.71630764,1e-05,[1024; 1024]
1,0.74696577,1024,0.49774603026788405,500,0.5125768013387421,0.7699469,0.7840096,0.7201844,1e-05,[1024; 1024]
1,0.7524868,1024,0.4878342667068894,550,0.505497322162182,0.7740049,0.7849642,0.73613644,1e-05,[1024; 1024]
1,0.7580424,1024,0.4850817393337463,600,0.5024205630605146,0.78200155,0.78520286,0.7382477,1e-05,[1024; 1024]
1,0.7619158,1024,0.48204303625454203,650,0.4964626448393437,0.78080803,0.7863962,0.7433809,1e-05,[1024; 1024]
1,0.7664865,1024,0.4755253876643526,700,0.49166315708638375,0.7828967,0.78878284,0.75527996,1e-05,[1024; 1024]
1,0.77111834,1024,0.4720160001116891,750,0.488595373704496,0.78325474,0.7890215,0.76026475,1e-05,[1024; 1024]
1,0.7748707,1024,0.4694285824598785,800,0.4831659979069148,0.78838694,0.78973746,0.7636096,1e-05,[1024; 1024]
1,0.7780646,1024,0.4685289521927892,850,0.48072970286189515,0.78635794,0.7914081,0.76500547,1e-05,[1024; 1024]
1,0.7811339,1024,0.4660819508746678,900,0.47627450576261005,0.79202724,0.7935561,0.76630604,1e-05,[1024; 1024]
1,0.7833254,1024,0.464869167222864,950,0.47344938912084394,0.78850627,0.7959427,0.76923287,1e-05,[1024; 1024]
1,0.7857085,1024,0.45859762312525487,1000,0.4709355141211808,0.7933401,0.797136,0.7773468,1e-05,[1024; 1024]
2,0.44594607,1024,1.3117585370853209,0,0.6015565955553532,0.62690216,0.7601432,0.49882522,1e-05,[512; 1024; 1024]
2,0.6278193,1024,0.7261319701694507,50,0.5796245533128342,0.6898013,0.7589499,0.5099707,1e-05,[512; 1024; 1024]
2,0.6048768,1024,0.626446135684927,100,0.608828347907146,0.720475,0.76157516,0.5349055,1e-05,[512; 1024; 1024]
2,0.6085142,1024,0.5909361116405375,150,0.6158946928943825,0.7330071,0.7608592,0.5526989,1e-05,[512; 1024; 1024]
2,0.63218504,1024,0.5685257504796928,200,0.6125798396677277,0.7454198,0.76109785,0.5804673,1e-05,[512; 1024; 1024]
2,0.65230113,1024,0.5577274011976574,250,0.6106715332067667,0.7495375,0.76109785,0.59754884,1e-05,[512; 1024; 1024]
2,0.6644025,1024,0.5458138228643693,300,0.6043507492912129,0.7537745,0.7639618,0.62320256,1e-05,[512; 1024; 1024]
2,0.6762045,1024,0.5380189217608818,350,0.5983394145965576,0.75508744,0.76420045,0.6386213,1e-05,[512; 1024; 1024]
2,0.6840203,1024,0.5267569423433263,400,0.590111510139092,0.75938416,0.7639618,0.66351867,1e-05,[512; 1024; 1024]
2,0.6912647,1024,0.521365760611543,450,0.5819058159370696,0.76362115,0.7653938,0.6736647,1e-05,[512; 1024; 1024]
2,0.6963006,1024,0.5203477534355281,500,0.5757592124415468,0.75992125,0.76658714,0.6778961,1e-05,[512; 1024; 1024]
2,0.70229673,1024,0.5126889510656119,550,0.568838444558419,0.7636809,0.77016705,0.69228905,1e-05,[512; 1024; 1024]
2,0.70827293,1024,0.5087945199300162,600,0.5647054122285229,0.7635018,0.7725537,0.7011777,1e-05,[512; 1024; 1024]
2,0.7141028,1024,0.5063178195865582,650,0.5590433566553211,0.77090174,0.77016705,0.7029698,1e-05,[512; 1024; 1024]
2,0.7181996,1024,0.5011011242098204,700,0.5513506483917874,0.7694695,0.77207637,0.7140998,1e-05,[512; 1024; 1024]
2,0.72293043,1024,0.49924802816788466,750,0.5474192840387258,0.77263236,0.77279234,0.7169122,1e-05,[512; 1024; 1024]
2,0.7284739,1024,0.4951878659706835,800,0.5407332080076304,0.7758549,0.7732697,0.7220354,1e-05,[512; 1024; 1024]
2,0.73390174,1024,0.49159283962967987,850,0.5372125802859486,0.7750194,0.77159905,0.72945464,1e-05,[512; 1024; 1024]
2,0.73870707,1024,0.4877514338791424,900,0.5313777299940159,0.7758549,0.7718377,0.73594844,1e-05,[512; 1024; 1024]
2,0.7439965,1024,0.4859075119602529,950,0.5255542392804685,0.7786,0.77565634,0.7384855,1e-05,[512; 1024; 1024]
