model,min,max,mean
RF,0.36313228871198283,0.3791602612267474,0.37092488652449374
RF_2000,0.3644289472850058,0.3757051377073917,0.3692812196525953
RF_2100,0.3571611408290647,0.37789430671014657,0.36937137331979025
