mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2.235233211517334,0.18334260769817914,0.0022595882415771484,6.575610345425547e-05,friedman_mse,0.001,3,auto,100,"{'criterion': 'friedman_mse', 'learning_rate': 0.001, 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 100}",-693.8414663237348,-265.1007980831636,-254.72957663109793,-321.2926455725608,-306.86262358638413,-368.54366740865675,164.75769280135395,712
12.431915187835694,0.31011034435264145,0.005521440505981445,0.0002575952976414469,friedman_mse,0.001,3,auto,500,"{'criterion': 'friedman_mse', 'learning_rate': 0.001, 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 500}",-381.98621823611126,-154.99664487069785,-158.32306865743422,-200.2090378824814,-170.7951702453891,-213.35442895884867,85.92151815453136,685
22.731148529052735,0.60605451791356,0.009041452407836914,0.000536679884742282,friedman_mse,0.001,3,auto,900,"{'criterion': 'friedman_mse', 'learning_rate': 0.001, 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 900}",-235.84285118890153,-106.60083078037535,-114.24818083472934,-144.3521819405251,-112.13804438616027,-142.6874618750774,48.46100162062097,662
32.66204385757446,0.8832623728525769,0.012825775146484374,0.0009113874863129701,friedman_mse,0.001,3,auto,1300,"{'criterion': 'friedman_mse', 'learning_rate': 0.001, 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 1300}",-163.44267703046174,-85.75911446121279,-93.03980929909524,-118.60549389974148,-87.47328938152693,-109.69352840269681,29.386679583996834,513
42.402813816070555,0.856395300051104,0.016030311584472656,0.0009735529152971638,friedman_mse,0.001,3,auto,1700,"{'criterion': 'friedman_mse', 'learning_rate': 0.001, 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 1700}",-127.21327934391014,-77.11073515691967,-82.73867285048608,-105.6595047216374,-77.34843919744473,-94.0323076084552,19.648737895884874,332
53.239266109466556,1.8101193884000968,0.020223522186279298,0.001042504441022796,friedman_mse,0.001,3,auto,2100,"{'criterion': 'friedman_mse', 'learning_rate': 0.001, 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 2100}",-109.84597345290388,-73.44228296434352,-76.8760994100512,-98.80105134311265,-73.29790075103318,-86.46547281751376,15.064094831759157,127
62.91933093070984,1.3087966302542964,0.02326197624206543,0.0020239378788357,friedman_mse,0.001,3,auto,2500,"{'criterion': 'friedman_mse', 'learning_rate': 0.001, 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 2500}",-101.63911979361657,-71.99531464298545,-73.85650543415377,-95.29800408092903,-71.61559389316105,-82.8911804124657,12.910498919672595,16
72.65405716896058,2.1148921628662043,0.026758241653442382,0.0020931360552671097,friedman_mse,0.001,3,auto,2900,"{'criterion': 'friedman_mse', 'learning_rate': 0.001, 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 2900}",-97.34423244140653,-72.00597763607708,-72.45143037865603,-93.1030157493579,-71.08647765913246,-81.20706905423404,11.54138429739363,8
82.66190934181213,0.41437390962351084,0.030963706970214843,0.001830497115397581,friedman_mse,0.001,3,auto,3300,"{'criterion': 'friedman_mse', 'learning_rate': 0.001, 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 3300}",-94.17568707680638,-72.46315074435935,-71.65250693275571,-92.0462240433504,-70.89945922263065,-80.25503335944207,10.538378343129363,6
92.84062600135803,2.157608921084739,0.03418817520141602,0.0028324985274408537,friedman_mse,0.001,3,auto,3700,"{'criterion': 'friedman_mse', 'learning_rate': 0.001, 'max_depth': 3, 'max_features': 'auto', 'n_estimators': 3700}",-92.2625286949441,-72.75206473735163,-71.60777974792092,-91.3815165117019,-71.17554636561265,-79.84269260114667,9.805775629737312,4
0.2882211685180664,0.0061973088565455,0.0026844501495361327,4.578818724933251e-05,friedman_mse,0.001,3,sqrt,100,"{'criterion': 'friedman_mse', 'learning_rate': 0.001, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 100}",-732.3097636805192,-280.6090537146666,-266.58591734997975,-335.71539828434726,-325.605036122938,-388.3535030144168,174.17879777254183,719
1.3088968753814698,0.0568854968013744,0.008087968826293946,0.0003622292334572031,friedman_mse,0.001,3,sqrt,500,"{'criterion': 'friedman_mse', 'learning_rate': 0.001, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 500}",-489.7126677216767,-194.03522730533336,-189.64221606971438,-239.91668252537772,-219.8900536226033,-266.7615344534716,113.10387337221157,695
2.2616783618927,0.05155867297833327,0.012915325164794923,0.0005167483733436672,friedman_mse,0.001,3,sqrt,900,"{'criterion': 'friedman_mse', 'learning_rate': 0.001, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 900}",-337.19524259226137,-144.97467458018582,-144.91822841097354,-183.87328216545023,-159.51301962589403,-194.17325768586062,73.00781740525548,682
3.1530974388122557,0.12730522554433402,0.01706528663635254,0.0006593346379153232,friedman_mse,0.001,3,sqrt,1300,"{'criterion': 'friedman_mse', 'learning_rate': 0.001, 'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 1300}",-245.1134547904555,-117.2016381964342,-118.62252286265745,-150.70802057095483,-126.70010516474268,-151.72032263603765,48.27800345318646,668
