mean_fit_time,mean_score_time,mean_test_score,param_C,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
1.2107497215270997,0.30376105308532714,-228.5105453519867,2,auto,rbf,"{'C': 2, 'gamma': 'auto', 'kernel': 'rbf'}",53,-587.6478826327209,-126.15702274585387,-108.5974712252253,-155.23323774854612,-163.93317449722926,0.23162988810384272,0.029607528214558327,180.90799899400142
1.3039085388183593,0.3266613960266113,-433.13821375784903,2,0.1,rbf,"{'C': 2, 'gamma': 0.1, 'kernel': 'rbf'}",90,-903.809613974308,-304.288383347897,-279.1072179814371,-346.332347184156,-330.8639956159225,0.14176161040866184,0.018781756597500282,236.77331352001926
1.4147400856018066,0.28925557136535646,-342.1967088298112,2,0.01,rbf,"{'C': 2, 'gamma': 0.01, 'kernel': 'rbf'}",62,-811.4667542588697,-215.1773933022772,-186.08396385491017,-246.2815579055361,-250.68820347012291,0.27761402174270927,0.048780054658232035,236.11166204704674
1.4374660968780517,0.32312164306640623,-105.11859081469008,2,0.001,rbf,"{'C': 2, 'gamma': 0.001, 'kernel': 'rbf'}",34,-198.17282663416756,-78.32513448916345,-70.34179790990089,-97.62630197052634,-80.87194995785799,0.23809802809075567,0.008032830545226011,47.42994763750807
1.301185941696167,0.26854877471923827,-86.52207731010164,2,0.0001,rbf,"{'C': 2, 'gamma': 0.0001, 'kernel': 'rbf'}",24,-123.14175235704032,-72.06097666015668,-70.74799802658109,-92.51805764790136,-74.04127398198779,0.17124396687650784,0.043734183923558205,19.966219594071415
1.0379148960113525,0.2324965000152588,-99.93129105512033,2,1e-05,rbf,"{'C': 2, 'gamma': 1e-05, 'kernel': 'rbf'}",32,-148.7095568785206,-75.27775813046382,-82.84318174366769,-102.46258634294497,-90.22973309555687,0.11821681102574681,0.055450682313637326,26.0165767561402
1.447788953781128,0.3142846584320068,-319.8312118936268,2,1e-06,rbf,"{'C': 2, 'gamma': 1e-06, 'kernel': 'rbf'}",60,-672.6599655618684,-217.9677313979779,-208.15280549141877,-258.7561703899085,-240.65273250732147,0.16725173144785452,0.028994085761710777,177.53335982238582
1.3747479438781738,0.2770530223846436,-419.1561161217287,2,1e-07,rbf,"{'C': 2, 'gamma': 1e-07, 'kernel': 'rbf'}",70,-873.5759605920135,-294.68232225026054,-270.9246129454831,-335.7881886290506,-319.56451031657457,0.20755444881280694,0.046852057965117155,228.58477249910797
1.2937671184539794,0.27046566009521483,-430.78749508950597,2,1e-08,rbf,"{'C': 2, 'gamma': 1e-08, 'kernel': 'rbf'}",82,-897.311453522832,-303.96305075796874,-278.3259410190004,-344.74131380300116,-328.3175685134033,0.26546979831046774,0.04119189878215014,234.65848578849818
1.2339892387390137,0.2554065704345703,-431.96877288590457,2,1e-09,rbf,"{'C': 2, 'gamma': 1e-09, 'kernel': 'rbf'}",88,-899.7064458237727,-304.89877665713476,-279.0780859684275,-345.66406616449535,-329.2150167391505,0.1620938676601357,0.056758240865871036,235.2681278817469
