mean_fit_time,mean_score_time,mean_test_score,param_C,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
2441.9639888763427,0.16402029991149902,-259.99436452006694,2,3,auto,poly,"{'degree': 3, 'kernel': 'poly', 'C': 2, 'gamma': 'auto'}",17,-461.70245757429507,-185.91105865659233,-166.7786309700718,-203.61548642264157,-281.4115640642566,170.74881011176404,0.00122631187976163,108.24075798188174
2407.7841135501862,0.1642538070678711,-260.91857056085007,2,3,0.1,poly,"{'degree': 3, 'kernel': 'poly', 'C': 2, 'gamma': 0.1}",21,-459.8962092314051,-187.69816367456394,-166.2002779976803,-203.66663775449214,-286.58641993057296,144.41862221424594,0.0013455368134305367,107.64592928305821
2534.965654420853,0.16446895599365235,-262.30745831381785,2,3,0.01,poly,"{'degree': 3, 'kernel': 'poly', 'C': 2, 'gamma': 0.01}",25,-465.7668926263579,-186.10480372172935,-168.25596768753778,-205.91856406490288,-284.93364036085563,196.90307358233187,0.0011406662489407192,109.38057869585693
292.26171097755434,0.1637638568878174,-117.89875091984453,2,3,0.001,poly,"{'degree': 3, 'kernel': 'poly', 'C': 2, 'gamma': 0.001}",5,-177.31740886794313,-90.840031570648,-93.38317789935,-114.31475280794628,-113.47559260964186,25.77107611043322,0.001472907967244549,31.315044461142385
1.039768648147583,0.1748729705810547,-105.44820840644856,2,3,0.0001,poly,"{'degree': 3, 'kernel': 'poly', 'C': 2, 'gamma': 0.0001}",2,-170.79637893203588,-81.3734994804225,-85.44479461023501,-109.78540847094578,-79.66192445497195,0.05664512186657128,0.0048040373075349495,34.47404512137987
1729.6562088012695,0.16445116996765136,-386.2126957672127,2,4,auto,poly,"{'degree': 4, 'kernel': 'poly', 'C': 2, 'gamma': 'auto'}",39,-816.621171946298,-255.32875382509752,-205.81437336621812,-271.09506917077186,-381.02490922307805,148.72287955090633,0.0002779203724097015,222.9690250594621
1713.5984048366547,0.16406683921813964,-386.0874112594477,2,4,0.1,poly,"{'degree': 4, 'kernel': 'poly', 'C': 2, 'gamma': 0.1}",35,-823.3239637766707,-256.1430781837456,-205.56426594273418,-270.3687624471166,-373.8390775839105,157.86220021585692,0.000480339998354184,225.64354281061
1719.4119769573213,0.1650002956390381,-388.4008956206953,2,4,0.01,poly,"{'degree': 4, 'kernel': 'poly', 'C': 2, 'gamma': 0.01}",45,-821.6705633582019,-256.994401350968,-206.14104148757784,-271.4196496799818,-384.59178204116483,109.8438878036089,0.0005451032251822146,224.62596378347004
1652.4120273590088,0.16412930488586425,-347.64655252415565,2,4,0.001,poly,"{'degree': 4, 'kernel': 'poly', 'C': 2, 'gamma': 0.001}",32,-730.6111635699912,-238.61363657514218,-180.11628690364563,-256.44061065960926,-331.4018467999356,155.96826920046104,0.000883602830641261,197.73394645901152
1.6022599697113038,0.16865124702453613,-139.11518358574224,2,4,0.0001,poly,"{'degree': 4, 'kernel': 'poly', 'C': 2, 'gamma': 0.0001}",7,-260.9963590551624,-101.23145357407414,-102.4572447502091,-129.66426651186572,-100.89267300871649,0.17722298816870397,0.00565972915670096,61.991052227937935
