RUN,EPOCHS,BATCH_SIZE,LR,NEURONS,AUC_TRAIN,AUC_DEV,LOSS_TRAIN,LOSS_DEV,ACCURACY_TRAIN,ACCURACY_DEV
0,10,1024,1e-05,[32; 64],0.3982865682529085,0.3829966722803456,0.6572814,0.659296,0.6728531,0.6718377
1,10,1024,1e-05,[16; 32],0.4966958856516893,0.494195718189725,0.7797542,0.7717632,0.32177597,0.3202864
2,20,1024,1e-05,[32; 64],0.47432190666782637,0.47062983882449394,0.6132589,0.623806,0.71474606,0.7109785
3,20,1024,1e-05,[16; 32],0.5404913226884602,0.5586827586206896,0.8985457,0.88691556,0.29366833,0.29665872
4,30,1024,1e-05,[32; 64],0.48589176579225546,0.505942185503345,0.63907903,0.62477875,0.67971593,0.6980907
5,30,1024,1e-05,[16; 32],0.4866088778727077,0.46954694374003725,0.6935927,0.6988417,0.53488094,0.524821
6,40,1024,1e-05,[32; 64],0.42508254295978165,0.42363757392316503,0.6343465,0.63166606,0.6952915,0.6964201
7,40,1024,1e-05,[16; 32],0.4556501501517235,0.45397419716133547,0.6515851,0.6518757,0.6496986,0.64677805
