RUN,EPOCHS,BATCH_SIZE,LR,NEURONS,AUC_TRAIN,AUC_DEV,LOSS_TRAIN,LOSS_DEV,ACCURACY_TRAIN,ACCURACY_DEV
0,10,1024,1e-05,[32; 64],0.50908230311958,0.5116986193706287,0.68114686,0.6728732,0.5556484,0.5658711
1,10,1024,1e-05,[16; 32],0.5634117521000152,0.5630173913781029,1.0439144,1.06921,0.24222712,0.25179
2,20,1024,1e-05,[32; 64],0.468711367467305,0.4803357289945349,0.64762795,0.6438476,0.6526825,0.66587114
3,20,1024,1e-05,[16; 32],0.5033004141251556,0.5245603416492565,0.7504117,0.74559057,0.35137555,0.3680191
4,30,1024,1e-05,[32; 64],0.523776837262146,0.5500720105234151,0.57820463,0.5746051,0.74911976,0.7470167
5,30,1024,1e-05,[16; 32],0.42008185117812724,0.40934694961221807,0.60744554,0.59598273,0.7520439,0.7553699
6,40,1024,1e-05,[32; 64],0.5146658010239171,0.5111170103678665,0.6744261,0.67367375,0.5878737,0.59785205
7,40,1024,1e-05,[16; 32],0.466730830302442,0.4788545060629728,0.7738919,0.7683712,0.35537386,0.36324582
